,id,lottery_date,times,number_1,number_2,number_3,number_4,number_5,number_6,number_7,bonus_number1,bonus_number2,lottery_number
0,387,2020-09-25,387,03,07,13,22,30,32,37,14,15,"03,07,13,22,30,32,37,14,15,"
1,386,2020-09-18,386,09,19,22,32,35,36,37,07,21,"09,19,22,32,35,36,37,07,21,"
2,385,2020-09-11,385,04,12,14,24,29,34,35,05,15,"04,12,14,24,29,34,35,05,15,"
3,384,2020-09-04,384,03,07,15,18,26,30,31,09,33,"03,07,15,18,26,30,31,09,33,"
4,383,2020-08-28,383,08,11,15,22,26,28,30,10,20,"08,11,15,22,26,28,30,10,20,"
5,382,2020-08-21,382,02,03,05,08,19,22,37,16,28,"02,03,05,08,19,22,37,16,28,"
6,381,2020-08-14,381,04,08,25,26,27,31,32,09,22,"04,08,25,26,27,31,32,09,22,"
7,380,2020-08-07,380,08,14,24,25,32,34,36,13,16,"08,14,24,25,32,34,36,13,16,"
8,379,2020-07-31,379,03,08,15,22,24,29,35,18,26,"03,08,15,22,24,29,35,18,26,"
9,378,2020-07-24,378,01,05,09,10,14,15,29,20,28,"01,05,09,10,14,15,29,20,28,"
10,377,2020-07-17,377,06,07,10,17,25,33,36,27,32,"06,07,10,17,25,33,36,27,32,"
11,376,2020-07-10,376,06,11,14,17,23,31,37,10,15,"06,11,14,17,23,31,37,10,15,"
12,375,2020-07-03,375,13,15,18,19,23,27,32,34,35,"13,15,18,19,23,27,32,34,35,"
13,374,2020-06-26,374,04,05,09,10,18,27,35,15,34,"04,05,09,10,18,27,35,15,34,"
14,373,2020-06-19,373,02,03,17,18,22,23,31,04,30,"02,03,17,18,22,23,31,04,30,"
15,372,2020-06-12,372,06,08,22,23,32,33,36,09,27,"06,08,22,23,32,33,36,09,27,"
16,371,2020-06-05,371,01,03,04,08,11,21,25,12,23,"01,03,04,08,11,21,25,12,23,"
17,370,2020-05-29,370,07,10,16,25,26,33,34,24,35,"07,10,16,25,26,33,34,24,35,"
18,369,2020-05-22,369,01,07,09,11,15,31,34,06,33,"01,07,09,11,15,31,34,06,33,"
19,368,2020-05-15,368,07,08,09,13,21,34,35,03,20,"07,08,09,13,21,34,35,03,20,"
20,367,2020-05-08,367,08,14,19,20,29,30,31,07,35,"08,14,19,20,29,30,31,07,35,"
21,366,2020-05-01,366,10,24,25,26,27,33,36,04,23,"10,24,25,26,27,33,36,04,23,"
22,365,2020-04-24,365,01,04,13,14,16,22,35,10,23,"01,04,13,14,16,22,35,10,23,"
23,364,2020-04-17,364,03,09,10,14,16,20,27,19,33,"03,09,10,14,16,20,27,19,33,"
24,363,2020-04-10,363,13,15,17,22,26,34,36,03,19,"13,15,17,22,26,34,36,03,19,"
25,362,2020-04-03,362,04,07,08,14,22,24,27,13,26,"04,07,08,14,22,24,27,13,26,"
26,361,2020-03-27,361,05,09,16,20,29,33,35,02,08,"05,09,16,20,29,33,35,02,08,"
