,id,lottery_date,times,number_1,number_2,number_3,number_4,number_5,bonus_number1,lottery_number
0,1096,2020-09-29,1096,01,02,12,20,22,08,"01,02,12,20,22,08,"
1,1095,2020-09-22,1095,04,10,16,21,24,06,"04,10,16,21,24,06,"
2,1094,2020-09-15,1094,03,05,08,14,22,21,"03,05,08,14,22,21,"
3,1093,2020-09-08,1093,02,12,17,23,30,08,"02,12,17,23,30,08,"
4,1092,2020-09-01,1092,09,13,14,19,22,25,"09,13,14,19,22,25,"
5,1091,2020-08-25,1091,01,14,25,29,31,30,"01,14,25,29,31,30,"
6,1090,2020-08-18,1090,04,12,15,22,25,10,"04,12,15,22,25,10,"
7,1089,2020-08-11,1089,03,13,18,19,22,29,"03,13,18,19,22,29,"
8,1088,2020-08-04,1088,02,08,14,17,26,04,"02,08,14,17,26,04,"
9,1087,2020-07-28,1087,01,03,04,09,16,28,"01,03,04,09,16,28,"
10,1086,2020-07-21,1086,02,18,19,28,30,16,"02,18,19,28,30,16,"
11,1085,2020-07-14,1085,09,10,16,17,28,13,"09,10,16,17,28,13,"
12,1084,2020-07-07,1084,11,19,28,29,31,02,"11,19,28,29,31,02,"
13,1083,2020-06-30,1083,01,03,19,26,29,05,"01,03,19,26,29,05,"
14,1082,2020-06-23,1082,01,02,14,19,29,05,"01,02,14,19,29,05,"
15,1081,2020-06-16,1081,02,03,04,24,25,08,"02,03,04,24,25,08,"
16,1080,2020-06-09,1080,04,05,13,19,21,14,"04,05,13,19,21,14,"
17,1079,2020-06-02,1079,02,06,14,16,26,04,"02,06,14,16,26,04,"
18,1078,2020-05-26,1078,03,10,16,17,25,24,"03,10,16,17,25,24,"
19,1077,2020-05-19,1077,03,17,19,25,31,04,"03,17,19,25,31,04,"
20,1076,2020-05-12,1076,05,07,11,22,26,15,"05,07,11,22,26,15,"
21,1075,2020-05-05,1075,04,11,13,16,31,06,"04,11,13,16,31,06,"
22,1074,2020-04-28,1074,15,18,20,22,27,21,"15,18,20,22,27,21,"
23,1073,2020-04-21,1073,02,13,21,24,30,14,"02,13,21,24,30,14,"
24,1072,2020-04-14,1072,03,04,10,12,13,31,"03,04,10,12,13,31,"
25,1071,2020-04-07,1071,02,03,04,27,31,07,"02,03,04,27,31,07,"
26,1070,2020-03-31,1070,07,09,11,27,31,21,"07,09,11,27,31,21,"
27,1069,2020-03-24,1069,01,03,09,14,25,20,"01,03,09,14,25,20,"
28,1068,2020-03-17,1068,02,03,20,24,31,09,"02,03,20,24,31,09,"
29,1067,2020-03-10,1067,02,10,13,15,28,26,"02,10,13,15,28,26,"
30,1066,2020-03-03,1066,15,17,20,22,23,21,"15,17,20,22,23,21,"
31,1065,2020-02-25,1065,08,11,14,16,31,10,"08,11,14,16,31,10,"
32,1064,2020-02-18,1064,01,05,08,28,29,07,"01,05,08,28,29,07,"
33,1063,2020-02-11,1063,10,18,20,26,27,25,"10,18,20,26,27,25,"
34,1062,2020-02-04,1062,14,18,23,29,31,17,"14,18,23,29,31,17,"
35,1061,2020-01-28,1061,05,10,19,23,28,09,"05,10,19,23,28,09,"
36,1060,2020-01-21,1060,19,23,24,28,31,11,"19,23,24,28,31,11,"
37,1059,2020-01-14,1059,02,11,13,16,18,03,"02,11,13,16,18,03,"
38,1058,2020-01-07,1058,02,16,19,24,27,20,"02,16,19,24,27,20,"
39,1057,2019-12-24,1057,09,13,21,23,26,01,"09,13,21,23,26,01,"
40,1056,2019-12-17,1056,03,12,14,21,25,10,"03,12,14,21,25,10,"
41,1055,2019-12-10,1055,01,05,18,19,21,09,"01,05,18,19,21,09,"
42,1054,2019-12-03,1054,02,19,25,26,31,22,"02,19,25,26,31,22,"
43,1053,2019-11-26,1053,02,03,13,16,23,14,"02,03,13,16,23,14,"
44,1052,2019-11-19,1052,04,08,09,14,26,05,"04,08,09,14,26,05,"
45,1051,2019-11-12,1051,07,11,12,21,22,05,"07,11,12,21,22,05,"
46,1050,2019-11-05,1050,02,15,19,23,28,10,"02,15,19,23,28,10,"
47,1049,2019-10-29,1049,02,16,21,26,31,27,"02,16,21,26,31,27,"
48,1048,2019-10-22,1048,01,08,11,19,23,12,"01,08,11,19,23,12,"
49,1047,2019-10-15,1047,08,12,19,25,26,09,"08,12,19,25,26,09,"
50,1046,2019-10-08,1046,16,23,24,28,29,12,"16,23,24,28,29,12,"
51,1045,2019-10-01,1045,03,05,07,10,18,16,"03,05,07,10,18,16,"
52,1,1999-04-13,1,01,03,17,20,25,26,"01,03,17,20,25,26,"
53,2,1999-04-27,2,02,11,12,21,30,28,"02,11,12,21,30,28,"
54,3,1999-05-11,3,01,08,10,24,30,28,"01,08,10,24,30,28,"
55,4,1999-05-25,4,11,12,14,20,31,29,"11,12,14,20,31,29,"
56,5,1999-06-08,5,08,09,15,21,25,23,"08,09,15,21,25,23,"
57,6,1999-06-22,6,02,11,16,24,29,04,"02,11,16,24,29,04,"
58,7,1999-07-06,7,03,24,25,26,31,02,"03,24,25,26,31,02,"
59,8,1999-07-20,8,22,24,25,28,30,21,"22,24,25,28,30,21,"
60,9,1999-08-03,9,02,11,12,13,28,15,"02,11,12,13,28,15,"
61,10,1999-08-17,10,08,19,21,23,30,05,"08,19,21,23,30,05,"
62,11,1999-08-31,11,17,18,19,20,30,31,"17,18,19,20,30,31,"
63,12,1999-09-14,12,05,09,13,16,19,21,"05,09,13,16,19,21,"
64,13,1999-09-28,13,06,11,18,25,28,20,"06,11,18,25,28,20,"
65,14,1999-10-05,14,02,21,24,26,29,28,"02,21,24,26,29,28,"
66,15,1999-10-12,15,06,08,17,23,24,22,"06,08,17,23,24,22,"
67,16,1999-10-19,16,02,20,24,26,27,23,"02,20,24,26,27,23,"
68,17,1999-10-26,17,10,18,20,25,27,01,"10,18,20,25,27,01,"
69,18,1999-11-02,18,01,14,16,23,25,27,"01,14,16,23,25,27,"
70,19,1999-11-09,19,02,09,10,22,27,01,"02,09,10,22,27,01,"
71,20,1999-11-16,20,14,20,22,25,30,15,"14,20,22,25,30,15,"
72,21,1999-11-23,21,03,15,22,25,31,06,"03,15,22,25,31,06,"
73,22,1999-11-30,22,04,06,26,28,30,14,"04,06,26,28,30,14,"
74,23,1999-12-07,23,02,13,18,22,26,15,"02,13,18,22,26,15,"
75,24,1999-12-14,24,12,14,19,26,28,15,"12,14,19,26,28,15,"
76,25,1999-12-21,25,02,03,07,18,29,15,"02,03,07,18,29,15,"
77,26,1999-12-28,26,07,08,09,14,15,04,"07,08,09,14,15,04,"
78,27,2000-01-04,27,10,16,20,21,31,14,"10,16,20,21,31,14,"
79,28,2000-01-11,28,02,09,15,22,29,11,"02,09,15,22,29,11,"
80,29,2000-01-18,29,09,12,17,26,31,15,"09,12,17,26,31,15,"
81,30,2000-01-25,30,10,15,17,18,30,16,"10,15,17,18,30,16,"
82,31,2000-02-01,31,14,20,21,24,28,17,"14,20,21,24,28,17,"
83,32,2000-02-08,32,02,11,13,16,24,20,"02,11,13,16,24,20,"
